delayed,purchase_hour,purchase_weekday,purchase_month,approval_lag_hours,price,freight_value,num_items,customer_state,seller_state
0,16,0,6,0.1875,40.5,19.32,1,SP,PR
0,10,1,3,0.1175,430.0,45.18,2,DF,SP
0,15,0,7,35.49888888888889,79.9,15.31,1,RS,SP
0,18,5,6,0.2213888888888888,89.5,11.83,1,SP,SP
0,0,2,6,0.4416666666666666,119.9,23.64,1,RJ,SP
0,13,1,10,13.714166666666667,99.9,20.19,1,RJ,SP
0,10,2,12,0.1575,350.9,21.0,1,CE,SP
0,14,1,12,0.3252777777777778,84.99,22.91,1,RO,SP
0,20,4,8,8.569166666666666,629.9,26.16,1,SP,PR
0,7,1,5,0.185,49.9,17.92,1,SC,MG
0,20,0,2,0.2513888888888889,26.15,25.63,1,PA,SP
0,9,0,1,0.3044444444444444,349.9,48.98,1,PE,PR
0,11,0,7,0.1722222222222222,49.0,14.1,1,MG,SP
0,20,5,8,0.1519444444444444,109.0,15.83,1,MG,MG
0,8,4,1,0.3538888888888888,169.9,21.59,1,ES,SC
0,20,0,2,0.2244444444444444,124.9,18.12,1,MG,SP
0,12,1,10,0.2327777777777777,11.8,30.2,2,RJ,SP
0,22,2,11,0.2238888888888889,179.0,32.28,1,SP,SP
0,8,4,4,0.2261111111111111,129.8,22.12,2,SP,SP
0,21,4,1,0.5388888888888889,34.3,15.1,1,MG,SP
0,19,3,12,0.1236111111111111,119.9,9.21,1,RJ,RJ
0,18,2,1,0.3430555555555555,179.8,30.76,2,DF,GO
0,23,0,8,0.2169444444444444,10.89,7.39,1,SP,SP
0,10,2,11,16.24888888888889,115.0,21.3,1,SC,SP
0,11,0,6,0.4341666666666666,49.99,22.28,1,BA,SP
0,2,3,4,26.45638888888889,24.9,14.52,1,RJ,MG
0,16,3,2,0.7758333333333334,119.9,8.09,1,SP,MG
0,20,6,11,0.2227777777777777,49.0,17.67,1,MG,SP
1,22,5,3,53.666666666666664,45.9,8.72,1,SP,SP
0,16,1,9,34.50555555555555,99.9,21.54,1,SP,PR
0,22,6,4,0.3825,395.6,41.76,1,PR,MG
0,9,3,6,0.6047222222222223,259.99,10.33,1,SP,SP
0,15,3,11,0.2122222222222222,49.99,15.1,1,SP,RS
0,16,2,1,19.120277777777776,59.9,12.76,1,SP,SP
0,14,1,11,13.654444444444444,369.49,35.86,1,SP,SP
0,21,1,6,0.3388888888888889,82.0,18.37,1,DF,RJ
0,10,2,5,18.205,110.0,34.31,1,MG,SP
0,19,2,12,0.3569444444444444,43.9,15.1,1,ES,SP
1,9,0,10,18.133333333333333,58.0,17.66,1,RJ,SP
0,9,1,1,0.3033333333333333,190.32,13.46,1,SP,PR
0,8,2,4,18.664166666666667,104.0,20.81,1,SC,SP
0,22,0,8,64.27944444444445,83.0,16.83,1,PR,SP
0,21,2,9,24.278333333333332,89.9,27.17,1,PE,SP
0,20,5,6,0.3780555555555555,129.0,18.78,1,SP,SC
0,11,4,7,0.2619444444444444,388.0,32.13,1,MA,SP
1,15,5,3,0.2458333333333333,55.0,14.75,1,MG,SP
0,15,1,11,0.2186111111111111,154.9,47.61,1,RO,PR
0,1,4,11,25.911944444444444,246.62,10.94,1,BA,BA
0,10,4,3,0.5977777777777777,29.9,73.57,1,SP,RO
0,14,3,9,35.74027777777778,398.0,16.54,1,MG,SP
0,22,3,9,0.2205555555555555,208.98,29.44,2,SP,SP
0,11,0,11,0.3505555555555555,348.79,17.19,1,DF,SP
0,21,6,11,0.1286111111111111,29.0,14.1,1,RS,SP
0,18,2,1,0.145,188.0,17.76,1,RJ,PR
0,12,2,6,0.6972222222222222,120.0,18.94,1,SP,RJ
0,20,1,2,0.2969444444444444,19.9,14.1,1,DF,MG
0,21,2,6,0.2936111111111111,170.0,22.94,1,MG,MG
1,21,1,1,0.7966666666666666,39.99,15.1,1,MG,SP
0,17,0,9,0.5894444444444444,18.9,12.48,1,SP,PR
0,20,5,2,0.1994444444444444,77.94,12.89,1,SP,SP
0,18,3,6,0.3366666666666666,12.47,18.23,1,GO,SP
0,22,1,2,0.3127777777777777,269.0,26.91,1,CE,PR
0,14,3,4,0.6327777777777778,117.7,18.7,1,SP,RJ
0,16,2,4,33.96083333333333,106.5,7.93,1,SP,SP
0,19,6,4,0.1536111111111111,339.99,12.99,1,SP,SP
0,23,2,5,0.1297222222222222,18.99,7.78,1,SP,SP
0,18,4,8,0.7836111111111111,50.0,15.45,1,DF,SP
1,14,0,1,12.9725,69.9,11.73,1,SP,SP
0,22,6,2,77.72638888888889,24.9,15.1,1,RS,SP
0,14,2,5,0.3383333333333333,35.0,19.32,1,PR,SP
0,12,6,11,0.3477777777777778,45.73,15.1,1,ES,SP
0,10,6,11,0.2502777777777777,24.5,11.85,1,SP,SP
0,13,1,3,0.2344444444444444,105.0,26.64,3,SP,SP
0,11,0,2,0.2391666666666666,149.0,14.79,1,RJ,SP
0,13,3,8,0.2916666666666667,179.9,59.7,1,AL,MG
0,22,4,12,0.19,39.0,7.78,1,SP,SP
0,13,2,6,0.2166666666666666,79.9,7.81,1,SP,SP
0,11,4,11,1.8916666666666664,189.9,17.03,1,SP,SP
0,18,0,8,0.2327777777777777,86.8,7.86,1,SP,SP
0,13,4,9,0.1277777777777777,25.99,14.1,1,RJ,SP
0,19,6,11,0.2383333333333333,79.0,13.57,1,SP,SP
0,14,1,7,50.29194444444445,66.99,27.75,1,SP,MA
0,22,3,5,0.2644444444444444,347.45,15.79,1,SP,SP
0,0,3,5,0.9886111111111112,35.9,15.1,1,GO,SP
0,16,1,8,0.475,193.0,16.42,1,PR,PR
0,16,0,5,1.471666666666667,129.0,41.75,1,PE,PR
0,17,6,6,0.3311111111111111,42.97,23.1,1,MG,SP
0,19,1,2,0.9252777777777778,139.0,15.73,1,SP,SP
0,10,2,8,24.173055555555557,160.0,13.25,1,SP,PR
0,22,5,7,0.2497222222222222,174.9,24.02,1,SP,PR
0,14,6,3,0.2886111111111111,79.99,19.53,1,SC,SP
1,19,2,8,1.3766666666666667,49.9,25.63,1,PE,SP
1,19,5,3,0.66,499.99,110.52,1,PI,SP
0,19,1,6,0.1927777777777777,55.13,27.54,1,SP,SP
0,11,1,5,0.6158333333333333,39.99,17.06,1,BA,MG
0,22,6,4,0.1669444444444444,93.0,15.86,1,PR,SP
0,12,1,12,0.1969444444444444,59.99,15.17,1,MG,RJ
0,21,1,2,0.2283333333333333,104.9,9.55,1,SP,SP
0,22,2,12,0.3238888888888889,23.8,15.79,1,ES,MG
0,1,1,11,0.1675,73.01,17.76,1,MG,SP
0,1,2,4,0.1497222222222222,110.0,14.85,1,SP,PR
0,23,1,7,31.386111111111113,134.97,27.21,3,SP,SP
0,16,5,1,67.715,148.99,15.8,1,SP,SP
0,13,1,12,0.2102777777777777,349.9,17.0,1,SP,SC
0,13,2,10,0.2394444444444444,329.9,67.4,1,SP,PR
0,10,0,12,0.1430555555555555,139.9,20.47,1,SP,RS
0,19,4,11,1.0127777777777778,108.0,9.77,1,RJ,RJ
0,10,1,7,0.2363888888888889,13.99,14.1,1,RJ,SP
0,22,0,7,0.2372222222222222,113.49,36.11,1,PA,PE
0,12,1,2,0.2483333333333333,31.9,12.48,1,MG,MG
0,16,0,8,0.6277777777777778,43.98,17.6,1,SP,SP
0,9,0,8,41.78805555555556,83.88,23.31,1,MA,SP
0,15,4,6,0.2038888888888889,69.99,19.68,1,RS,SP
0,17,6,5,23.114444444444445,168.9,13.62,1,SP,SP
0,13,3,4,0.295,29.0,19.32,1,RJ,SP
0,9,5,11,0.3852777777777778,125.0,15.62,1,SP,PR
0,15,0,1,12.6375,69.0,38.03,1,PI,SP
0,22,6,5,0.1922222222222222,21.74,17.6,1,DF,MG
0,13,2,11,0.1325,117.3,28.2,1,BA,SP
0,23,4,2,76.97583333333333,19.0,14.1,1,RS,SP
0,21,6,6,0.4102777777777778,78.0,15.65,1,RJ,SP
0,11,5,7,24.072222222222223,999.99,101.52,1,PR,SP
0,22,0,7,0.2297222222222222,19.99,7.78,1,SP,SP
0,16,0,4,0.4291666666666666,49.0,15.23,1,RJ,SP
0,21,2,7,0.1775,205.0,22.27,1,RJ,SP
1,9,0,7,0.6075,70.0,31.36,1,MG,PR
0,21,3,4,0.2544444444444444,2589.0,17.01,1,SP,SP
0,11,0,7,0.2597222222222222,75.0,15.28,1,RJ,SP
0,13,2,2,0.4013888888888889,39.9,15.11,1,RJ,SP
0,12,3,2,14.586944444444445,99.9,24.9,1,BA,SP
0,21,2,8,0.2244444444444444,217.32,34.6,1,SP,SP
0,11,0,7,39.79972222222222,89.9,36.25,1,SP,SP
0,13,4,6,0.2058333333333333,133.0,22.01,1,SP,PR
0,19,0,7,23.915,99.99,27.65,1,BA,SP
0,9,2,4,41.97611111111111,41.99,18.23,1,MG,SP
0,17,3,4,0.395,209.99,27.91,1,PE,SP
0,18,4,5,8.337777777777777,359.8,92.14,2,BA,SP
0,10,5,4,0.3541666666666667,130.0,9.82,1,SP,SP
0,22,6,12,1.051388888888889,244.99,18.82,1,RJ,RJ
0,10,2,3,0.3605555555555556,55.0,22.97,1,RJ,SP
0,1,2,2,5.380277777777778,69.0,14.23,1,RS,SP
0,19,4,8,0.3322222222222222,109.99,15.94,1,DF,RJ
1,14,4,7,93.46388888888887,129.49,22.21,1,DF,SP
0,15,5,8,0.1777777777777777,89.9,5.82,1,RS,SP
0,15,4,8,0.3519444444444444,229.0,82.91,1,GO,DF
0,14,1,5,0.4113888888888889,54.7,8.88,1,SP,SP
0,10,3,3,0.0,89.9,11.24,1,SP,SP
0,14,0,8,13.160833333333333,51.0,22.17,3,SP,SP
0,15,6,5,0.3011111111111111,100.0,9.0,1,SP,SP
0,22,3,5,28.57027777777778,32.9,14.1,1,RJ,SP
0,9,0,2,0.6647222222222222,149.0,45.12,1,MS,MG
0,16,5,5,0.4152777777777778,9.9,12.79,1,SP,SP
0,23,3,4,27.0925,105.0,18.31,1,SP,PR
0,15,5,11,0.2944444444444444,39.99,17.6,1,MG,SP
0,21,4,1,79.06,53.0,14.12,1,ES,SP
0,14,0,5,1.4677777777777778,18.9,7.55,1,RJ,RJ
0,9,0,5,19.536666666666665,779.2,76.96,4,SC,RS
0,17,4,8,82.79083333333334,19.9,15.1,1,ES,SP
0,16,3,8,0.25,31.99,27.5,1,PE,PR
0,10,3,11,0.2852777777777778,559.0,37.27,1,SP,SC
0,12,4,6,0.2247222222222222,116.5,8.16,1,SP,SP
0,21,5,9,0.2252777777777777,149.9,16.81,1,SP,SP
0,19,2,2,0.2805555555555555,38.7,23.34,3,SP,SP
0,21,4,3,0.1275,498.0,43.23,2,RJ,SP
0,18,5,9,0.1361111111111111,112.9,13.13,1,SP,SP
0,9,4,4,121.86833333333334,149.9,16.75,1,ES,SP
0,22,6,3,2.0208333333333335,208.0,71.72,2,MG,SP
0,21,5,8,0.1677777777777777,28.0,14.78,2,SP,SP
0,7,1,6,19.223333333333333,41.89,27.06,1,SE,SP
0,12,1,7,0.9730555555555556,69.9,15.24,1,SC,SP
0,21,4,12,0.2227777777777777,59.9,11.73,1,SP,SP
0,13,1,2,36.744166666666665,27.9,15.1,1,PR,SP
0,22,6,5,44.96861111111111,145.0,13.45,1,SP,SP
0,16,3,1,23.932222222222222,129.0,13.92,1,SP,SP
0,14,1,5,0.1486111111111111,69.9,25.77,1,CE,SP
0,12,6,8,0.2230555555555555,299.4,104.88,6,SP,SP
0,12,0,12,0.1969444444444444,75.0,20.02,1,RJ,SP
0,20,2,2,0.1488888888888888,148.0,18.29,1,SP,PR
0,17,6,5,0.4052777777777778,130.0,13.35,1,SP,SP
0,18,6,8,34.48583333333333,122.99,30.11,1,MS,MA
0,13,0,4,28.7625,154.99,18.96,1,PR,SP
0,14,0,6,0.3972222222222222,50.0,17.76,2,SP,SP
1,23,6,3,0.3044444444444444,119.9,15.59,1,MG,RJ
0,16,5,4,0.1938888888888889,59.9,11.81,1,SP,SP
0,9,4,3,90.26222222222222,86.99,11.7,1,SP,SP
0,12,3,8,0.9702777777777778,74.99,18.63,1,MG,SP
0,22,3,11,19.41055555555555,156.0,33.98,2,BA,SP
0,14,2,6,0.2508333333333333,21.0,9.27,1,SP,SP
0,17,3,8,0.2886111111111111,34.99,14.56,1,SP,SP
0,16,4,3,0.2480555555555555,199.8,34.28,2,MG,PR
1,13,3,1,23.885833333333338,355.6,64.24,4,RJ,RS
0,18,6,7,18.497777777777777,29.99,18.31,1,MG,SP
0,23,1,4,0.2766666666666666,149.9,23.98,1,PI,PE
1,18,6,8,18.593611111111112,230.0,26.59,1,SP,SP
0,22,6,6,0.23,39.9,15.79,1,BA,MG
0,18,2,1,0.2608333333333333,248.0,17.99,1,RJ,SP
0,21,4,6,84.94583333333334,12.97,15.1,1,MG,SP
0,16,6,4,0.2566666666666666,256.3,46.25,2,PR,SP
0,22,2,1,0.1230555555555555,55.9,14.14,1,PR,SP
0,12,1,3,0.2630555555555555,119.8,31.06,2,SP,SP
0,23,0,6,24.266111111111112,119.0,18.63,1,RJ,SP
0,22,2,4,0.3155555555555555,78.0,18.43,1,MG,SP
0,21,1,3,0.3180555555555555,539.9,19.95,1,MG,SC
0,11,4,3,0.2480555555555555,139.99,26.47,1,RJ,SC
0,17,0,4,0.1911111111111111,1375.0,25.33,1,RS,SP
0,14,2,5,0.6922222222222222,694.0,41.47,2,SP,SP
0,15,6,11,0.2130555555555555,53.0,16.0,1,SP,SP
0,16,5,3,0.3036111111111111,16.2,18.23,1,MG,SP
0,21,1,2,0.2902777777777778,19.9,12.69,1,SP,SP
0,9,2,11,0.2875,19.9,11.85,1,SP,SP
0,14,3,2,12.563888888888888,59.9,15.17,1,RS,SP
0,17,2,1,23.842222222222222,19.9,11.85,1,SP,SP
0,10,4,8,89.83888888888889,37.99,14.1,1,RJ,SP
0,17,1,7,23.88861111111111,219.8,47.14,2,RS,SP
0,17,1,7,46.97638888888889,27.9,7.94,1,SP,SP
0,18,5,6,66.54444444444445,149.9,13.39,1,SP,SP
0,17,4,1,0.3119444444444444,215.0,13.01,1,SP,SP
0,10,6,7,0.2383333333333333,138.9,13.99,1,RS,RS
0,19,1,10,0.1813888888888888,189.9,33.92,1,CE,SP
0,23,6,11,0.3352777777777778,229.9,30.01,1,PE,SP
0,22,2,6,28.54888888888889,45.0,15.42,1,GO,SP
0,21,0,8,7.587777777777778,159.9,12.62,1,SP,SP
0,19,6,9,0.2080555555555555,186.99,16.94,1,SP,SP
0,10,2,7,0.2622222222222222,89.9,57.4,1,SE,SP
0,12,3,8,0.9775,15.0,12.79,1,SP,SP
0,8,0,2,42.420833333333334,28.9,15.11,1,PR,SP
0,21,6,7,0.2880555555555555,35.9,23.05,1,MG,RJ
0,19,6,8,0.1866666666666666,179.9,30.51,1,PR,PE
0,2,3,5,0.2111111111111111,207.94,90.38,2,RJ,SP
0,18,3,7,0.1822222222222222,125.4,27.18,1,RJ,SP
0,15,3,1,0.1858333333333333,858.9,13.27,1,SP,SP
0,10,3,4,0.1744444444444444,49.9,10.96,1,SP,SP
0,13,4,8,0.2277777777777777,45.0,62.2,2,DF,MG
0,13,4,3,88.03583333333333,29.98,19.04,1,CE,SP
0,18,6,6,1.5941666666666667,22.49,22.85,1,RO,SP
0,14,2,11,0.4244444444444444,28.99,15.1,1,SC,SP
0,12,3,1,14.473611111111111,169.0,18.43,1,MG,SP
0,17,2,1,9.20472222222222,120.0,12.34,1,SP,SP
0,21,5,2,0.1958333333333333,67.9,12.61,1,SP,PR
0,2,2,4,0.1444444444444444,49.9,8.72,1,SP,SP
0,16,1,3,34.51833333333333,35.9,50.85,1,PB,SP
0,23,5,6,0.4416666666666666,135.0,22.88,1,RJ,RS
0,18,2,4,0.2022222222222222,159.0,39.4,1,RJ,PR
0,9,4,5,17.315833333333334,64.9,14.54,1,SP,SP
0,12,1,2,0.2797222222222222,299.9,13.3,1,SP,SP
0,12,1,6,7.921388888888889,136.0,12.45,1,SP,SP
0,21,6,7,0.2058333333333333,136.0,19.86,1,PE,SP
0,19,0,2,0.3547222222222222,150.0,15.8,1,RS,SP
0,13,4,5,0.1494444444444444,98.0,21.14,1,MT,SP
0,23,1,12,1.0238888888888888,21.99,15.1,1,RS,SP
1,21,3,8,0.1816666666666666,69.99,23.29,1,SC,SP
0,19,1,6,31.415,59.9,19.39,1,SC,SP
0,16,5,3,0.1955555555555555,59.9,15.3,1,MG,SP
0,23,2,12,0.1486111111111111,84.99,19.13,1,PE,SP
1,15,0,11,0.3347222222222222,56.99,16.16,1,MG,SP
0,20,4,6,0.4044444444444444,149.9,16.06,1,SP,SP
0,15,4,7,0.255,203.89,19.71,2,SP,SP
0,20,2,5,0.2963888888888888,144.0,18.89,1,MG,SP
0,9,4,3,0.0,14.9,14.52,1,PR,SP
0,12,3,8,0.7594444444444445,65.0,57.23,1,AL,SP
0,1,2,10,0.505,39.9,14.1,1,SP,MG
0,13,0,6,22.011388888888888,47.99,14.44,1,SP,SP
0,14,2,8,26.211388888888887,169.9,26.47,1,PE,SP
1,16,3,2,0.1436111111111111,47.0,17.6,1,SC,SP
0,21,0,8,28.807222222222222,65.0,34.25,1,SE,SP
0,14,1,1,0.2313888888888889,28.5,16.11,1,DF,SP
1,13,6,9,0.2419444444444444,132.9,53.29,1,PA,SP
0,18,2,8,0.2677777777777778,19.9,15.1,1,PR,SP
0,22,4,3,0.2511111111111111,84.99,18.87,1,MG,SP
0,22,5,9,54.27944444444445,689.9,40.15,1,RO,SP
0,14,1,11,0.4886111111111111,89.99,45.09,1,SP,MG
0,22,6,11,0.36,39.9,15.79,1,SP,DF
0,12,4,8,23.962777777777777,177.99,12.75,1,SP,SP
0,16,3,5,8.006944444444445,127.0,17.8,1,SP,SP
0,20,3,2,24.100833333333338,419.96,73.96,2,MG,SP
0,20,1,5,0.1788888888888888,72.69,19.75,1,MS,MG
0,11,3,9,0.2902777777777778,110.8,25.62,1,SC,PR
0,21,0,12,2.2391666666666667,279.9,9.21,1,SP,SP
1,10,0,12,5.631666666666667,89.9,43.04,1,SE,SP
0,16,3,7,34.79277777777778,153.0,53.68,2,PR,SP
0,22,0,7,0.2233333333333333,149.9,16.81,1,SP,SC
0,17,1,8,0.3755555555555555,9.99,18.23,1,MG,SP
0,9,3,4,0.4108333333333333,18.9,7.71,1,SP,SP
0,17,0,10,0.405,64.99,11.95,1,SP,SP
0,9,3,8,0.1811111111111111,153.6,56.4,4,PR,SP
0,13,1,5,23.945833333333333,229.0,16.48,1,SP,ES
0,21,1,4,0.1702777777777777,29.99,22.85,1,MA,SP
1,18,0,12,0.1936111111111111,154.88,16.84,1,RJ,MG
0,12,4,11,1.9847222222222225,88.9,9.44,1,SP,SP
0,8,2,6,0.5636111111111111,29.9,18.31,1,MG,ES
0,19,5,2,0.2283333333333333,99.99,11.9,1,SP,SP
0,21,3,5,4.9225,330.0,12.25,1,SP,SP
0,13,2,11,0.1380555555555555,79.0,14.3,1,MG,SP
1,15,0,8,0.19,22.5,8.32,1,SP,SP
0,14,5,3,0.0,64.9,15.66,1,RJ,SP
0,11,1,1,0.5869444444444445,29.98,21.15,1,AM,SP
0,9,0,12,18.817222222222224,31.9,8.27,1,SP,SP
0,15,5,10,0.2011111111111111,59.9,21.26,1,RJ,SP
0,14,1,4,0.2344444444444444,109.9,21.85,1,RJ,SP
0,13,1,8,0.2291666666666666,59.9,16.61,1,PR,SP
0,12,3,1,0.4163888888888888,25.0,8.72,1,SP,SP
0,12,4,5,93.13111111111112,32.9,10.96,1,SP,SP
0,12,3,7,23.125833333333333,879.0,48.63,3,RJ,RJ
0,15,0,2,35.30416666666667,29.99,7.78,1,SP,SP
0,22,5,4,0.1788888888888888,98.7,14.78,1,SP,SP
0,20,1,3,0.3855555555555555,153.4,22.78,1,GO,MG
0,17,4,5,81.97555555555556,87.0,27.67,1,AM,PR
0,17,6,3,0.2525,99.9,21.65,1,RJ,SP
0,15,3,10,19.404722222222222,13.99,11.85,1,SP,SP
0,0,4,1,0.5894444444444444,370.0,19.43,1,MG,PR
0,12,5,6,0.2111111111111111,139.0,9.66,1,SP,SP
0,10,5,6,0.3972222222222222,32.0,16.41,1,ES,SP
0,17,6,6,0.5063888888888889,24.99,18.28,1,SC,SP
0,15,4,8,0.3013888888888889,129.34,16.54,1,SP,SP
0,23,4,11,75.94111111111111,29.9,9.34,1,SP,SP
0,20,3,6,0.3425,22.9,9.47,1,SP,SP
0,10,1,1,0.2238888888888889,59.99,13.44,1,SP,SP
0,23,3,6,0.4375,140.8,40.33,2,RJ,SP
0,12,6,4,0.1547222222222222,59.99,22.35,1,BA,SP
1,22,0,5,0.4563888888888889,99.0,19.38,1,PE,SP
0,22,0,12,1.084722222222222,98.99,17.13,1,MT,GO
0,9,5,4,70.3,369.0,54.13,1,SP,SC
0,20,4,12,85.39694444444444,348.8,16.19,1,MG,SP
0,10,5,6,74.53,89.5,25.18,1,RN,SP
0,19,1,1,0.2,212.0,40.46,2,DF,SP
0,16,1,10,0.5063888888888889,67.0,13.08,1,SP,SP
0,17,2,5,0.1811111111111111,39.0,15.56,1,PR,SP
0,13,5,11,0.1930555555555555,77.8,30.2,2,RS,SP
0,11,1,9,0.2636111111111111,348.0,35.32,2,PE,BA
0,7,0,8,109.37944444444445,59.99,15.17,1,MG,SP
0,20,1,8,0.1658333333333333,71.9,44.3,1,RJ,SP
0,0,2,9,26.180555555555557,59.9,37.97,1,SE,SP
0,10,0,8,40.41277777777778,384.93,16.44,1,PR,SP
0,19,2,11,0.1608333333333333,99.9,15.45,1,MG,SP
0,15,2,11,0.245,199.0,18.64,1,ES,SP
1,11,0,3,0.2647222222222222,53.9,21.35,1,RJ,SP
0,19,2,8,0.1922222222222222,60.99,13.09,1,SP,SP
0,2,4,2,0.2191666666666666,56.99,17.97,1,BA,SP
0,15,0,4,27.851388888888888,30.49,8.29,1,SP,SP
0,21,2,1,0.1844444444444444,149.0,14.79,1,RJ,SP
0,1,4,6,1.2038888888888888,899.0,20.38,1,SP,SP
0,11,0,7,0.2272222222222222,29.4,17.92,1,BA,SP
0,11,5,11,0.2172222222222222,69.9,12.62,1,MG,MG
0,10,5,1,0.1097222222222222,41.8,15.1,1,RJ,SP
1,11,6,6,0.1580555555555555,55.5,12.73,1,SP,SP
0,19,4,6,0.2411111111111111,8.99,15.1,1,RJ,MG
0,13,4,5,0.2369444444444444,289.9,19.91,1,SP,RJ
0,13,6,11,0.1491666666666666,115.0,18.06,1,SC,SP
0,15,6,11,0.1677777777777777,19.9,25.63,1,PE,SP
0,18,1,7,39.21388888888889,5.99,12.6,1,PE,PE
0,17,0,6,0.1891666666666666,4.78,8.11,1,PR,PR
0,13,0,4,41.06861111111111,55.0,8.88,1,SP,SP
0,21,5,12,0.3872222222222222,97.49,17.93,1,MG,SP
0,18,6,2,46.54388888888889,119.99,16.05,1,RJ,SP
0,12,5,11,0.1783333333333333,93.98,35.94,2,SP,MG
0,8,0,3,0.2058333333333333,39.9,15.79,1,RJ,PR
0,15,3,9,0.2402777777777777,1599.99,35.65,1,DF,BA
0,17,4,11,3.312777777777778,170.0,24.06,1,BA,SP
0,10,4,3,23.904444444444444,229.99,15.55,1,RJ,RJ
1,23,6,11,0.1480555555555555,90.0,16.07,1,RJ,DF
0,23,0,5,0.3875,990.0,321.46,1,SP,MG
0,11,2,6,23.913055555555555,250.0,170.86,1,MG,SP
0,23,5,8,0.2036111111111111,71.99,15.25,1,MG,SP
0,21,1,4,0.2513888888888889,329.9,21.28,1,RS,SP
0,9,6,3,1.0355555555555556,69.9,19.46,1,RJ,SP
0,14,3,11,24.280555555555555,119.9,26.12,1,PE,SP
1,14,0,7,0.235,160.99,43.54,1,AL,SP
0,14,1,8,0.2088888888888889,78.99,17.68,1,SP,SP
0,12,5,7,0.2061111111111111,79.9,19.8,1,MG,PR
0,14,5,7,51.77722222222222,178.9,27.55,1,RS,SP
0,20,0,5,0.2555555555555555,569.95,44.43,1,AL,SP
0,19,1,12,0.2036111111111111,69.99,15.25,1,PR,RJ
0,23,1,10,3.7777777777777777,319.6,63.64,4,PR,SP
0,14,2,10,0.3444444444444444,159.99,30.96,1,RJ,SP
0,20,6,8,32.315,189.99,38.88,1,PB,SP
1,17,6,5,0.1963888888888889,219.99,12.74,1,SP,SP
0,15,1,5,0.5077777777777778,48.99,13.71,1,SP,SP
0,16,1,7,0.2238888888888889,44.99,7.78,1,SP,SP
0,9,0,2,0.1408333333333333,115.3,17.06,1,RJ,SP
0,17,6,5,0.1816666666666666,74.9,14.25,1,MG,MG
1,13,5,5,23.978055555555557,119.98,49.1,2,PE,RJ
0,16,5,8,0.3386111111111111,112.49,8.95,1,SP,SP
0,9,4,1,0.1352777777777777,48.9,12.69,1,SP,SP
0,10,4,11,1.4108333333333334,49.9,17.6,1,SP,RJ
0,10,1,4,0.2513888888888889,109.9,23.35,1,GO,SP
0,23,0,4,52.434444444444445,59.9,23.0,1,RJ,SP
0,18,2,6,7.963611111111111,39.99,28.75,1,MG,SP
0,18,2,11,0.4583333333333333,199.0,23.71,1,MA,SP
0,11,2,6,0.9116666666666666,97.9,33.39,1,RJ,MG
0,9,1,1,0.2511111111111111,99.56,12.83,1,SP,PR
0,10,2,10,15.71111111111111,71.9,16.94,1,MG,PR
0,9,6,12,67.38805555555555,142.99,16.76,1,MS,SP
0,14,3,11,0.2275,27.99,25.63,1,PA,SP
0,15,2,4,10.937777777777775,199.9,118.23,1,PE,SP
0,8,6,9,0.1983333333333333,143.35,68.13,1,SP,SP
0,20,0,1,0.2561111111111111,338.9,21.86,1,DF,MG
0,19,0,7,10.866111111111111,29.9,15.1,1,RJ,SP
